operator,department,employee_profile,device_category,estimated_price_mad,budget_risk_score,risk_level,alert_flag,recommendation,real_price_range,real_price_label,predicted_price_range,predicted_price_label,prediction_confidence
inwi,Commercial,Usage intensif,Milieu de gamme,2500,38.6,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9898
Maroc Telecom,Support,Usage basique,Premium,7000,91.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9804
Maroc Telecom,Support,Usage standard,Milieu de gamme,2500,38.1,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9965
inwi,RH,Usage standard,Entrée de gamme,1200,21.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9968
inwi,Finance,Usage premium,Entrée de gamme,1200,22.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9977
inwi,Finance,Usage basique,Haut de gamme,4500,63.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9687
inwi,Finance,Usage intensif,Haut de gamme,4500,65.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9899
Maroc Telecom,IT,Usage standard,Haut de gamme,4500,66.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.8567
Maroc Telecom,RH,Usage intensif,Milieu de gamme,2500,42.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9786
inwi,Finance,Usage standard,Milieu de gamme,2500,39.5,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9893
Orange Maroc,Direction,Usage standard,Milieu de gamme,2500,39.4,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9972
Maroc Telecom,Commercial,Usage intensif,Premium,7000,96.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
inwi,RH,Usage intensif,Entrée de gamme,1200,23.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9849
Maroc Telecom,Commercial,Usage premium,Premium,7000,93.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9995
Orange Maroc,IT,Usage basique,Haut de gamme,4500,65.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9876
Maroc Telecom,RH,Usage intensif,Milieu de gamme,2500,36.4,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9577
Orange Maroc,Commercial,Usage basique,Premium,7000,90.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.97
Maroc Telecom,Commercial,Usage standard,Milieu de gamme,2500,38.5,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.985
Maroc Telecom,RH,Usage standard,Entrée de gamme,1200,21.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9954
Maroc Telecom,Direction,Usage standard,Haut de gamme,4500,66.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9943
Orange Maroc,Support,Usage standard,Haut de gamme,4500,64.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9898
Orange Maroc,Commercial,Usage premium,Milieu de gamme,2500,43.0,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9666
Orange Maroc,Commercial,Usage basique,Entrée de gamme,1200,22.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9934
inwi,Commercial,Usage intensif,Entrée de gamme,1200,20.4,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9934
Maroc Telecom,Finance,Usage standard,Premium,7000,96.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9994
Maroc Telecom,RH,Usage basique,Premium,7000,98.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
inwi,IT,Usage basique,Entrée de gamme,1200,20.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9996
Maroc Telecom,Commercial,Usage premium,Entrée de gamme,1200,21.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9995
inwi,Commercial,Usage premium,Milieu de gamme,2500,42.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9917
Maroc Telecom,Finance,Usage premium,Premium,7000,93.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9851
inwi,Direction,Usage premium,Premium,7000,97.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Maroc Telecom,Direction,Usage basique,Milieu de gamme,2500,40.2,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9858
inwi,Support,Usage standard,Entrée de gamme,1200,24.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.7859
Orange Maroc,Commercial,Usage intensif,Haut de gamme,4500,66.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9921
inwi,Support,Usage standard,Haut de gamme,4500,67.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,3,Premium,0.7726
Maroc Telecom,IT,Usage standard,Premium,7000,94.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
Orange Maroc,Support,Usage standard,Entrée de gamme,1200,19.6,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9995
inwi,IT,Usage standard,Premium,7000,95.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9995
Orange Maroc,Support,Usage standard,Premium,7000,97.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Orange Maroc,Finance,Usage basique,Entrée de gamme,1200,22.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.994
Orange Maroc,Support,Usage standard,Premium,7000,97.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Orange Maroc,Direction,Usage standard,Entrée de gamme,1200,21.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.999
Orange Maroc,IT,Usage standard,Premium,7000,95.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Orange Maroc,Commercial,Usage basique,Milieu de gamme,2500,41.5,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9619
inwi,Direction,Usage intensif,Entrée de gamme,1200,20.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9991
Maroc Telecom,Commercial,Usage basique,Haut de gamme,4500,64.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9917
Maroc Telecom,Support,Usage standard,Haut de gamme,4500,63.7,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9932
inwi,Commercial,Usage intensif,Milieu de gamme,2500,40.4,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9618
inwi,RH,Usage standard,Haut de gamme,4500,60.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9162
Orange Maroc,Finance,Usage standard,Entrée de gamme,1200,21.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9985
Orange Maroc,Finance,Usage intensif,Premium,7000,97.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9991
Maroc Telecom,Support,Usage standard,Haut de gamme,4500,64.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9974
Maroc Telecom,RH,Usage intensif,Entrée de gamme,1200,23.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9915
Orange Maroc,Commercial,Usage intensif,Milieu de gamme,2500,41.0,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9709
Maroc Telecom,Commercial,Usage intensif,Haut de gamme,4500,64.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9956
Orange Maroc,Commercial,Usage standard,Premium,7000,96.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9995
Maroc Telecom,Support,Usage basique,Milieu de gamme,2500,42.6,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9963
inwi,Direction,Usage standard,Haut de gamme,4500,67.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9804
inwi,RH,Usage standard,Premium,7000,93.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9856
Orange Maroc,Support,Usage standard,Entrée de gamme,1200,24.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.971
Orange Maroc,Support,Usage standard,Premium,7000,96.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Maroc Telecom,Commercial,Usage standard,Milieu de gamme,2500,37.6,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9512
inwi,Direction,Usage basique,Entrée de gamme,1200,23.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9458
Orange Maroc,Finance,Usage standard,Entrée de gamme,1200,23.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9986
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,40.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9929
inwi,Support,Usage intensif,Haut de gamme,4500,62.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.8112
inwi,RH,Usage basique,Haut de gamme,4500,60.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9681
inwi,Support,Usage standard,Haut de gamme,4500,62.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9936
Orange Maroc,Support,Usage premium,Haut de gamme,4500,64.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9907
Orange Maroc,IT,Usage basique,Premium,7000,90.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9614
Maroc Telecom,Support,Usage standard,Premium,7000,94.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9993
inwi,RH,Usage basique,Entrée de gamme,1200,23.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9953
inwi,Commercial,Usage intensif,Milieu de gamme,2500,42.7,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9821
Maroc Telecom,Commercial,Usage standard,Milieu de gamme,2500,40.1,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9945
Maroc Telecom,Direction,Usage standard,Haut de gamme,4500,69.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9665
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,38.3,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.973
inwi,Commercial,Usage premium,Premium,7000,93.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
inwi,Commercial,Usage basique,Premium,7000,95.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Maroc Telecom,Support,Usage basique,Premium,7000,98.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Orange Maroc,Commercial,Usage premium,Premium,7000,93.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9976
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,37.8,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9943
inwi,Finance,Usage premium,Premium,7000,98.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
inwi,RH,Usage standard,Premium,7000,94.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.989
inwi,Support,Usage intensif,Premium,7000,90.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9636
Orange Maroc,Finance,Usage standard,Premium,7000,97.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,1.0
Maroc Telecom,Finance,Usage intensif,Haut de gamme,4500,61.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.7407
Maroc Telecom,Direction,Usage premium,Premium,7000,92.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9743
Maroc Telecom,IT,Usage standard,Haut de gamme,4500,65.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9897
inwi,Direction,Usage basique,Haut de gamme,4500,66.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.8364
inwi,Commercial,Usage standard,Entrée de gamme,1200,21.8,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9997
inwi,Support,Usage basique,Entrée de gamme,1200,18.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9992
inwi,Finance,Usage basique,Premium,7000,93.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9908
Orange Maroc,IT,Usage standard,Milieu de gamme,2500,39.7,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9917
inwi,Support,Usage standard,Haut de gamme,4500,67.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9852
inwi,Support,Usage standard,Haut de gamme,4500,63.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9886
inwi,Support,Usage standard,Entrée de gamme,1200,19.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9986
Maroc Telecom,IT,Usage intensif,Haut de gamme,4500,63.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9953
Orange Maroc,Support,Usage basique,Haut de gamme,4500,66.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9747
Maroc Telecom,Support,Usage basique,Milieu de gamme,2500,37.1,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9939
inwi,Commercial,Usage basique,Entrée de gamme,1200,18.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9994
Orange Maroc,Support,Usage standard,Premium,7000,89.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9863
Maroc Telecom,Support,Usage basique,Milieu de gamme,2500,41.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9066
Orange Maroc,Commercial,Usage standard,Milieu de gamme,2500,41.5,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9839
Orange Maroc,IT,Usage standard,Milieu de gamme,2500,37.8,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9953
Maroc Telecom,Commercial,Usage intensif,Milieu de gamme,2500,41.1,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9693
Maroc Telecom,IT,Usage basique,Milieu de gamme,2500,43.2,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9916
Orange Maroc,RH,Usage intensif,Haut de gamme,4500,60.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.7885
Orange Maroc,RH,Usage intensif,Haut de gamme,4500,66.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9835
inwi,IT,Usage intensif,Milieu de gamme,2500,38.6,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9917
Orange Maroc,RH,Usage premium,Premium,7000,96.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
inwi,IT,Usage basique,Milieu de gamme,2500,38.8,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9836
Orange Maroc,Support,Usage basique,Entrée de gamme,1200,22.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.6365
Orange Maroc,Direction,Usage premium,Milieu de gamme,2500,39.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9802
inwi,IT,Usage standard,Entrée de gamme,1200,22.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9997
Maroc Telecom,Direction,Usage standard,Entrée de gamme,1200,23.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9996
Maroc Telecom,Commercial,Usage intensif,Haut de gamme,4500,65.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9901
Maroc Telecom,Finance,Usage intensif,Haut de gamme,4500,67.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9262
inwi,IT,Usage premium,Haut de gamme,4500,60.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9782
Orange Maroc,Commercial,Usage premium,Entrée de gamme,1200,23.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9863
Orange Maroc,Support,Usage intensif,Premium,7000,91.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9675
Maroc Telecom,Support,Usage standard,Milieu de gamme,2500,39.5,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9874
Maroc Telecom,IT,Usage premium,Haut de gamme,4500,63.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9834
Maroc Telecom,IT,Usage basique,Milieu de gamme,2500,37.5,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9788
Maroc Telecom,RH,Usage basique,Haut de gamme,4500,64.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9744
Orange Maroc,Finance,Usage premium,Entrée de gamme,1200,20.6,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9832
Maroc Telecom,Finance,Usage standard,Entrée de gamme,1200,23.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9882
Maroc Telecom,Finance,Usage basique,Milieu de gamme,2500,34.7,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9864
inwi,Support,Usage basique,Premium,7000,92.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9989
Maroc Telecom,Direction,Usage premium,Premium,7000,94.4,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9947
Orange Maroc,RH,Usage standard,Premium,7000,95.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.999
inwi,Direction,Usage intensif,Premium,7000,94.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.7766
Maroc Telecom,Finance,Usage basique,Premium,7000,97.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
Orange Maroc,Commercial,Usage intensif,Premium,7000,99.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
inwi,Finance,Usage intensif,Entrée de gamme,1200,26.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9816
inwi,Commercial,Usage standard,Haut de gamme,4500,65.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9786
Maroc Telecom,Direction,Usage standard,Haut de gamme,4500,61.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9954
inwi,Commercial,Usage basique,Entrée de gamme,1200,21.8,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9874
Orange Maroc,RH,Usage premium,Entrée de gamme,1200,22.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9991
Maroc Telecom,Commercial,Usage intensif,Premium,7000,93.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9843
Orange Maroc,IT,Usage premium,Premium,7000,92.4,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9996
inwi,Support,Usage standard,Premium,7000,95.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Orange Maroc,Commercial,Usage intensif,Entrée de gamme,1200,24.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9825
Maroc Telecom,RH,Usage intensif,Entrée de gamme,1200,24.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9953
Orange Maroc,Commercial,Usage intensif,Premium,7000,93.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9992
Maroc Telecom,Commercial,Usage premium,Entrée de gamme,1200,18.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9996
Maroc Telecom,IT,Usage standard,Entrée de gamme,1200,21.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9671
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,40.0,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9966
Maroc Telecom,Finance,Usage intensif,Haut de gamme,4500,60.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.903
Maroc Telecom,Support,Usage intensif,Entrée de gamme,1200,21.6,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9995
Maroc Telecom,Support,Usage standard,Haut de gamme,4500,63.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9449
Orange Maroc,Support,Usage basique,Premium,7000,95.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9911
Maroc Telecom,Commercial,Usage standard,Milieu de gamme,2500,37.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9488
Maroc Telecom,Commercial,Usage standard,Premium,7000,93.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9995
inwi,IT,Usage standard,Haut de gamme,4500,62.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9895
Orange Maroc,Support,Usage intensif,Entrée de gamme,1200,18.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9999
Orange Maroc,Finance,Usage intensif,Haut de gamme,4500,66.7,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9399
Maroc Telecom,Commercial,Usage basique,Haut de gamme,4500,64.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9742
Maroc Telecom,Finance,Usage standard,Entrée de gamme,1200,19.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9988
Maroc Telecom,IT,Usage standard,Entrée de gamme,1200,23.4,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.999
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,42.7,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9623
Maroc Telecom,IT,Usage intensif,Premium,7000,97.4,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Maroc Telecom,Support,Usage premium,Entrée de gamme,1200,22.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9993
Maroc Telecom,Finance,Usage standard,Milieu de gamme,2500,41.3,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9903
Maroc Telecom,IT,Usage intensif,Milieu de gamme,2500,37.0,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9962
Orange Maroc,Commercial,Usage premium,Haut de gamme,4500,68.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9936
Maroc Telecom,IT,Usage intensif,Haut de gamme,4500,65.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9845
Maroc Telecom,Finance,Usage basique,Entrée de gamme,1200,22.4,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9816
Orange Maroc,Support,Usage premium,Haut de gamme,4500,69.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9657
Orange Maroc,IT,Usage standard,Haut de gamme,4500,62.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9653
Maroc Telecom,Support,Usage standard,Entrée de gamme,1200,22.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9993
inwi,IT,Usage basique,Milieu de gamme,2500,41.8,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9914
Orange Maroc,Finance,Usage standard,Premium,7000,94.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9794
Maroc Telecom,Support,Usage basique,Entrée de gamme,1200,21.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9703
inwi,Finance,Usage basique,Haut de gamme,4500,65.7,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9855
inwi,IT,Usage standard,Haut de gamme,4500,65.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9941
Maroc Telecom,RH,Usage intensif,Premium,7000,96.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9986
Maroc Telecom,Finance,Usage premium,Milieu de gamme,2500,38.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9897
inwi,Support,Usage standard,Premium,7000,92.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9971
